Key,Description,Standard,LT,DE
SAY.flowchart.3.,,An incident has occured at camp whilst you are on a break. You are walking back to your bunk and you hear what you think is yelling.,"Incidentas įvyko stovykloje tuo esate pertraukos. Jūs einate į savo gulto ir išgirsite, ką jūs manote yra šaukiantį.","Ein Vorfall im Camp aufgetreten, während Sie auf einer Pause sind. Sie gehen auf Ihre Koje zurück und Sie hören, was Sie denken, schreit."
SAY.flowchart.8.,,"You walk closer to the noise, and you notice two campers, who are face-to-face, yelling. What do you do?","Jūs vaikščioti arčiau triukšmo, ir jūs pastebėsite, du kemperiai, kurie akis į akį, šaukiantį. Ką tu darai?","Sie gehen näher an den Lärm, und man merkt zwei Camper, die face-to-face sind, schreien. Wie geht's?"
MENU.flowchart.9,,Run over to the campers and forcefully seperate them.,Suvažinėti į stovyklautojų ir ryžtingai juos atskirkite.,Führen Sie über den Camper und sie mit Gewalt trennen.
MENU.flowchart.12,,Run over to the campers and yell at them to get off one another.,Suvažinėti į stovyklautojų ir klykauti ne jų išlipti vienas kitą.,Führen Sie über den Camper und anschreien sie sich aus.
MENU.flowchart.11,,Calmly try diffuse the situation and try seperate them peacefully.,Ramiai pabandyti difuzinis situaciją ir bandyti Atskiroje juos taikiai.,"versuchen diffuse in aller Ruhe die Situation und versuchen, sie friedlich seperate."
MENU.flowchart.10,,Walk away and leave them to argue.,Pėsčiomis ir palikti juos ginčytis.,Gehen Sie weg und lassen sie zu streiten.
SAY.flowchart.15.,,You have reached your 15 second time limit.,Jūs pasiekėte savo 15 sekundžių laiko limitą.,Sie haben Ihr 15 Sekunden Zeitlimit erreicht.
SAY.flowchart.19.,,You selected: {i}Walk away and leave them to argue.{/i} You recieved {b}{$MyFloat}{/b} points.,Pasirinkote:. {i}pėsčiomis ir palikti juos ginčytis{/ i} Gavote {b}{$MyFloat}{/ b} taškų.,Ihre Auswahl:. {I} Gehen Sie weg und lassen sie argumentieren {/ i} Sie erhielt {b} {$ MyFloat} {/ b} Punkte.
SAY.flowchart.21.,,"You {b}never{/b} leave campers unsupervised, especially when they are arguing!!","Jūs {B} niekada {/ b} atostogų stovyklautojai be priežiūros, ypač kai jie ginčijasi !!","Sie {b} nie {/ b} leave Camper unbeaufsichtigt, vor allem, wenn sie streiten !!"
SAY.flowchart.20.,,{i}{b}***YOU FAILED!!***{/b}{/i} and finished with {b} {b}{$MyFloat}{/b} points.,Jūs pasiekėte savo 15 sekundžių laiko limitą.,{I} {b} *** SIE FAILED !! *** {/ b} {/ i} und fertig mit {b} {b} {$ MyFloat} {/ b} Punkte.
SAY.flowchart.26.,,You selected: {i}Run over to the campers and forcefully seperate them.{/i} You recieved {b}{$MyFloat}{/b} out of 3 points.,Pasirinkote:. {I} Suvažinėti į stovyklautojų ir ryžtingai juos atskirkite {/ i} Gavote {b}{$MyFloat}{/ b} iš 3 taškų.,Ihre Auswahl:. {I} Run auf die Camper über und sie mit Gewalt trennen {/ i} Sie erhalten {b} {$ MyFloat} {/ b} von 3 Punkten.
SAY.flowchart.31.,,One of the campers tumbles over a stool in the dining hall and cuts his knee open.,Vienas iš stovyklautojų susierzini nei taburetės valgomajame ir mažina jo kelio atvira.,Einer der Camper tumbles über einen Stuhl im Speisesaal und schneidet sein Knie offen.
SAY.flowchart.30.Nurse,,"You take him to the on-site medic to recieve treatment for this, only to be asked by the nurse what happened.","Jūs nuvežate jį pas gydytoją vietoje, kad gautumėte gydymą, tik seselės paprašius, kas nutiko.","Sie bringen ihn zum Arzt vor Ort, um eine Behandlung dafür zu erhalten, nur um von der Krankenschwester gefragt zu werden, was passiert ist."
SAY.flowchart.29.,,"The camper abruptly responds and says, ""He pushed me on the floor!"" as he violently points at you.","Kemperis staiga reaguoja ir sako: ""Jis pastūmėjo mane ant grindų!"" kaip jis žiauriai primena tave.",Der Camper abrupt reagiert und sagt: „Er drückte mich auf den Boden!“ wie er dich heftig verweist.
SAY.flowchart.28.,,"At this point the nurse has gone to get the Head-Counsellor, who asks...","Šiuo metu slaugytoja nuėjo gauti galvos patarėjas, kuris klausia ...","An diesem Punkt hat die Schwester gegangen, um den Head-Ratgeber zu bekommen, wer fragt ..."
SAY.flowchart.27.Head-Counsellor,,"""What happened here, is everyone ok?"". What is your response?","""Kas čia nutiko, yra visi ok?"". Kokia jūsų reakcija?","„Was hier passiert, ist jeder ok?“. Was ist deine Antwort?"
MENU.flowchart.32,,"Honesty: ""I had to seperate them as I believe they were about to fight one-another"".","Sąžiningumas: ""Turėjau juos atskirkite nes manau jie apie kovoti vienas kitą"".","Ehrlichkeit: „Ich hatte sie zu trennen, wie ich glaube, sie waren etwa ein anderen zu kämpfen“."
MENU.flowchart.35,,"Apologetic: ""I'm so sorry, it was not intentional. I promise you. I did what I thought was best"".","Kaltų: "". Aš taip gaila, tai buvo ne tyčinis Aš jums pažadu aš, ką aš maniau buvo geriausia."".","Apologetic: „Ich bin so traurig, es war keine Absicht ich Ihnen versprechen, ich tat, was ich dachte, war am besten.“."
MENU.flowchart.34,,"Lie: ""He must have hit his head, I saw him by the bathroom on the floor"".","Melas: ""Jis turi turėti nukentėjo galvą, pamačiau jį vonioje ant grindų"".","Lie: „Er muss den Kopf getroffen, ich ihn auf dem Boden durch das Bad sah“."
MENU.flowchart.33,,"Rude: ""They were being idiotic so I decided to force the apart"".","Grubus: ""jie buvo kvailas, todėl aš nusprendė priversti Apart"".","Rude: „Sie waren zu sein idiotisch so dass ich die auseinander zu zwingen, entschieden“."
SAY.flowchart.37.,,You have reached your 15 second time limit.,Jūs pasiekėte savo 15 sekundžių laiko limitą.,Sie haben Ihr 15 Sekunden Zeitlimit erreicht.
SAY.flowchart.45.,,"You selected: {i}""I had to seperate them as I believe they were about to fight one-another"".{/i} You recieved 3 points out of 3 points.","Pasirinkote: {I} ""Turėjau juos atskirkite nes manau jie apie kovoti vienas kitą"" {/i} Gavote 3 taškus iš 3 taškų..","Ihre Auswahl: {i} „Ich hatte sie zu trennen, wie ich glaube, sie waren etwa ein anderen zu kämpfen“ {/ i} Sie erhielt drei Punkte von 3 Punkten.."
SAY.flowchart.47.Head-Counsellor,,"""Ok, well as you believe that was the right way to deal with the situation, I will give you a warning. In future do not put your hands onto a camper!""","Gerai, gerai, kaip jūs manote, kad buvo tinkamas būdas susidoroti su situacija, aš tau duosiu įspėjimą. Ateityje nereikia įdėti savo rankas ant kemperiui!","„Ok, gut, wie Sie glauben, dass der richtige Weg war mit der Situation fertig zu werden, werde ich Ihnen eine Warnung aus. In Zukunft nicht Ihre Hände nicht auf einen Camper!“"
SAY.flowchart.46.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Jūs baigė su viso {b}{$MyFloat}{/b} iš {b} {$TotalFloat} {/b} kiekis.,Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} von {b} {$ TotalFloat} {/ b} Punkte.
SAY.flowchart.56.,,"You selected: {i}""I'm so sorry, it was not intentional. I promise you. I did what I thought was best"".{/i} You recieved 2 out of 3 points.","Pasirinkote: {I} "". Aš taip atsiprašau, tai buvo ne tyčinis Aš jums pažadu aš, ką aš maniau buvo geriausia."" {/I} Gavote 2 iš 3 taškų..","Ihre Auswahl: {i} ""Es tut mir leid, es war keine Absicht Ich verspreche Ihnen, ich tat, was ich dachte war am besten."" {/ I} Sie 2 von 3 Punkte erhielt.."
SAY.flowchart.58.Head-Counsellor,,"""Ok, well as you believe that was the right way to deal with the situation, I will give you a warning. In future do not put your hands onto a camper!""","Gerai, gerai, kaip jūs manote, kad buvo tinkamas būdas susidoroti su situacija, aš tau duosiu įspėjimą. Ateityje nereikia įdėti savo rankas ant kemperiui!","„Ok, gut, wie Sie glauben, dass der richtige Weg war mit der Situation fertig zu werden, werde ich Ihnen eine Warnung aus. In Zukunft nicht Ihre Hände nicht auf einen Camper!“"
SAY.flowchart.57.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Jūs baigė su viso {b}{$MyFloat}{/b} iš {b}{$TotalFloat}{/b} kiekis.,Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} von {b} {$ TotalFloat} {/ b} Punkte.
SAY.flowchart.60.,,"You selected: {i} ""He must have hit his head, I saw him by the bathroom on the floor"".{/i} You recieved 1 out of 3 points.","Pasirinkote:. {I} ""Jis turi nukentėjo galvą, pamačiau jį vonioje ant grindų"" {/i} Gavote 1 iš 3 taškų.","Ihre Auswahl:. {I} „Er muss den Kopf geschlagen haben, ich ihn auf dem Boden durch das Bad sah“ {/ i} Sie empfangen 1 von 3 Punkten."
SAY.flowchart.63.Head-Counsellor,,"""Well as long as you are both ok, I guess no harm. Just be careful.""","Na, kaip ilgai, kaip jūs abu gerai, aš manau, jokios žalos. Tiesiog būkite atsargūs.","„Nun, solange Sie beide sind in Ordnung, ich denke nicht schaden. Nur vorsichtig sein.“"
SAY.flowchart.61.,,You finished with a total of {b}{$MyFloat}{/b} out of {b}{$TotalFloat}{/b} points.,Jūs baigė su {b}{$ MyFloat}{/b} kiekis iš viso.,Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} Punkte.
SAY.flowchart.66.,,"You selected: {i}""They were being idiotic so I decided to force the apart"".{/i} You recieved 0 out of 3 points.","Pasirinkote: {b} ""jie buvo kvailas, todėl aš nusprendė priversti be"" {/b} Gavote 0 iš 3 taškų..",Sie fertig mit insgesamt {b} {$ MyFloat} {/ b} von {b} {$ TotalFloat} {/ b} Punkte.
